,구,발생,검거
0,종로구,3102,"3,343"
1,중구,3411,"2,323"
2,용산구,2969,"2,056"
3,성동구,2362,"1,774"
4,광진구,3601,"2,511"
5,동대문구,3401,"2,465"
6,중랑구,3726,"2,781"
7,성북구,2567,"1,947"
8,강북구,2770,"2,259"
9,도봉구,2179,"1,490"
10,노원구,3743,"2,581"
11,은평구,3390,"2,531"
12,서대문구,2533,"1,706"
13,마포구,3688,"2,534"
14,양천구,3216,"2,086"
15,강서구,4415,"3,393"
16,구로구,4175,"2,984"
17,금천구,2598,"1,966"
18,영등포구,5217,"3,371"
19,동작구,3200,"2,086"
20,관악구,5261,"3,858"
21,서초구,4601,"3,052"
22,강남구,7356,"5,245"
23,송파구,5410,"3,544"
24,강동구,3788,"2,662"
